City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
339,Puerto Escondido,MX,83.32,scattered clouds,15.85,-97.0667,Hotel Barlovento
341,Kloulklubed,PW,82.51,overcast clouds,7.0419,134.2556,The Adventures Inn
346,Saint-Joseph,RE,83.46,light rain,-21.3667,55.6167,
359,Praia,CV,81.14,clear sky,14.9215,-23.5087,Casa Sodadi
361,Witu,KE,80.76,broken clouds,-2.3889,40.4382,
365,Cidreira,BR,75.04,overcast clouds,-30.1811,-50.2056,Hotel Castelo
371,Guarapari,BR,82.89,few clouds,-20.6667,-40.4975,Osmar Hotel
377,Takoradi,GH,81.57,few clouds,4.8845,-1.7554,Hillcrest
379,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
380,Neiafu,TO,83.08,light rain,-18.65,-173.9833,Port Wine Guest House
383,Acarau,BR,83.37,broken clouds,-2.8856,-40.12,
388,Rocha,UY,85.3,broken clouds,-34.4833,-54.3333,Hotel Municipal
389,Chisec,GT,84.43,clear sky,15.8167,-90.2833,bombil pek
395,Sembe,CG,83.14,overcast clouds,1.6481,14.5806,
396,Koungou,YT,82.11,clear sky,-12.7336,45.2042,Hôtel Trévani
397,Cayenne,GF,82.44,overcast clouds,4.9333,-52.3333,Central Hôtel
407,Tra Vinh,VN,75.04,overcast clouds,9.9347,106.3453,
410,Paita,PE,78.76,scattered clouds,-5.0892,-81.1144,Victor's
411,Pundaguitan,PH,80.37,broken clouds,6.3711,126.1689,
415,Tautira,PF,80.67,scattered clouds,-17.7333,-149.15,
420,Tabou,CI,82.4,overcast clouds,4.423,-7.3528,hôtel le rochet
421,Wukari,NG,84.04,few clouds,7.85,9.7833,
427,Bastrop,US,75.81,overcast clouds,32.7562,-91.8724,
430,Humberto De Campos,BR,85.75,light rain,-2.5983,-43.4611,
432,Mahajanga,MG,86.02,few clouds,-15.7167,46.3167,Vahiny Hotel
433,Ouadda,CF,76.14,scattered clouds,8.0777,22.4007,
434,Abapo,BO,87.53,overcast clouds,-18.8333,-63.4667,
438,Maldonado,UY,85.39,overcast clouds,-34.6667,-54.9167,
440,Grand-Lahou,CI,81.84,broken clouds,5.1367,-5.0242,Cap Lahou
447,San Pedro,PH,78.03,scattered clouds,14.35,121.0167,Hotel Takara
448,Mogadishu,SO,77.68,scattered clouds,2.0371,45.3438,Villa Rays Restaurant & Hotel
450,Benguela,AO,79.02,overcast clouds,-12.5763,13.4055,Hotel Moibela
453,Morondava,MG,84.13,scattered clouds,-20.2833,44.2833,Hotel Sharon Menabe
457,Lagos,NG,86.32,scattered clouds,6.5833,3.75,
462,Guiglo,CI,87.44,scattered clouds,6.5456,-7.4966,Hôtel Gbaoly 2
467,Pedernales,DO,79.56,clear sky,18.0384,-71.744,Hostal Doña Chava
474,Mecca,SA,75.11,scattered clouds,21.4267,39.8261,Rehab Al Marwa Hotel 1
477,Acajutla,SV,81.82,few clouds,13.5928,-89.8275,Hotel Lara
479,Karratha,AU,81.77,scattered clouds,-20.7377,116.8463,Karratha International Hotel
483,Tevaitoa,PF,80.17,light rain,-16.7833,-151.5,Chambre d'hote
487,Padang,ID,75.25,light rain,-0.9492,100.3543,losmen Surya
489,San Vicente,AR,83.95,broken clouds,-26.6167,-54.1333,Los Lapachos
493,Martapura,ID,75.29,mist,-3.4167,114.85,Q-Hotel Grand Dafam
495,Gogrial,SS,81.37,few clouds,8.5332,28.1004,
496,Fonte Boa,BR,80.2,broken clouds,-2.4959,-66.2662,
497,Ngama,TD,78.57,overcast clouds,11.7833,17.1667,
500,Ndele,CF,81.3,broken clouds,8.4109,20.6473,
504,Kahului,US,75.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
