City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Brownwood,US,2023-01-10 21:33:04,31.7093,-98.9912,82.4,17,0,13.8
92,Eureka,US,2023-01-10 21:34:43,40.8021,-124.1637,54.21,92,86,7.0
93,Visnes,NO,2023-01-10 21:34:43,59.3556,5.2242,43.21,87,100,24.16
94,Nishihara,JP,2023-01-10 21:34:44,26.1842,127.7558,64.45,85,75,12.66
95,Mount Gambier,AU,2023-01-10 21:34:44,-37.8333,140.7667,64.4,71,3,3.2
96,Maarianhamina,AX,2023-01-10 21:30:28,60.0973,19.9348,37.26,100,100,5.75
97,Soyo,AO,2023-01-10 21:34:45,-6.1349,12.3689,77.86,88,66,7.29
98,Artyom,AZ,2023-01-10 21:34:45,40.4723,50.333,30.34,62,100,18.45
99,Obama,JP,2023-01-10 21:34:45,35.4958,135.746,33.96,70,73,3.33
100,Lebu,CL,2023-01-10 21:34:46,-37.6167,-73.65,58.68,68,0,20.09
101,Pombas,CV,2023-01-10 21:34:46,17.1503,-25.0201,71.38,76,6,13.76
102,Challans,FR,2023-01-10 21:34:46,46.8436,-1.8749,56.32,89,100,25.93
103,Naze,JP,2023-01-10 21:34:47,28.3667,129.4833,61.72,58,90,9.89
104,Asyut,EG,2023-01-10 21:33:10,27.181,31.1837,56.03,60,0,4.38
105,Sovetskiy,RU,2023-01-10 21:34:47,61.3614,63.5842,3.07,80,100,9.35
106,Katsuura,JP,2023-01-10 21:34:47,35.1333,140.3,33.82,53,10,4.63
107,Ormara,PK,2023-01-10 21:34:48,25.2088,64.6357,72.07,78,0,10.65
108,Salalah,OM,2023-01-10 21:34:48,17.0151,54.0924,71.69,73,0,3.44
109,Lock Haven,US,2023-01-10 21:31:39,41.137,-77.4469,39.97,71,100,2.89
110,Hay River,CA,2023-01-10 21:34:48,60.8156,-115.7999,10.38,85,100,8.05
111,Petropavlovsk-Kamchatskiy,RU,2023-01-10 21:34:49,53.0452,158.6483,-8.23,64,0,13.42
112,Tiksi,RU,2023-01-10 21:34:49,71.6872,128.8694,-36.44,100,100,3.87
113,Saskylakh,RU,2023-01-10 21:34:49,71.9167,114.0833,-52.89,100,77,3.91
114,Inuvik,CA,2023-01-10 21:34:50,68.3499,-133.7218,-12.14,77,20,5.75
115,Poum,NC,2023-01-10 21:34:50,-20.2333,164.0167,79.11,56,88,9.84
116,Kodiak,US,2023-01-10 21:33:19,57.79,-152.4072,35.11,100,75,0.0
117,Kieta,PG,2023-01-10 21:34:50,-6.2167,155.6333,81.68,79,100,2.51
118,Adana,TR,2023-01-10 21:34:51,36.985,35.2881,41.52,81,0,5.75
119,Kuusamo,FI,2023-01-10 21:34:51,65.9667,29.1833,12.24,85,100,6.91
120,Hilo,US,2023-01-10 21:34:51,19.7297,-155.09,87.28,61,100,9.22
121,Port Elizabeth,ZA,2023-01-10 21:34:51,-33.918,25.5701,71.31,90,75,9.22
122,Sikonge,TZ,2023-01-10 21:34:52,-5.6333,32.7667,62.94,85,99,2.33
123,Luderitz,NA,2023-01-10 21:34:52,-26.6481,15.1594,65.48,76,100,7.14
124,Nuevo Laredo,MX,2023-01-10 21:34:52,27.4763,-99.5164,82.67,39,0,6.91
125,Cap Malheureux,MU,2023-01-10 21:34:53,-19.9842,57.6142,78.48,73,6,1.99
126,Albany,US,2023-01-10 21:32:53,42.6001,-73.9662,34.36,68,76,1.01
127,Northam,GB,2023-01-10 21:34:53,51.0333,-4.2167,50.61,94,88,22.08
128,Solnechnyy,RU,2023-01-10 21:34:53,50.7214,136.6319,-4.27,95,80,3.06
129,Nizhniy Tsasuchey,RU,2023-01-10 21:34:54,50.5167,115.1333,-2.27,96,8,1.36
130,Elko,US,2023-01-10 21:30:08,41.0002,-115.5012,32.23,97,100,8.01
131,Ca Mau,VN,2023-01-10 21:34:54,9.1769,105.15,73.08,95,95,5.26
132,Sinnamary,GF,2023-01-10 21:34:54,5.3833,-52.95,76.35,88,74,11.97
133,Mount Isa,AU,2023-01-10 21:34:55,-20.7333,139.5,74.97,100,99,9.22
134,Hermanus,ZA,2023-01-10 21:35:55,-34.4187,19.2345,65.41,76,90,4.12
135,Dicabisagan,PH,2023-01-10 21:35:55,17.0818,122.4157,73.06,86,99,7.76
136,Ericeira,PT,2023-01-10 21:35:56,38.9627,-9.4156,59.34,93,77,7.4
137,Hualmay,PE,2023-01-10 21:35:56,-11.0964,-77.6139,72.64,70,71,8.43
138,Lorengau,PG,2023-01-10 21:35:56,-2.0226,147.2712,81.84,78,79,2.98
139,Laguna,US,2023-01-10 21:35:57,38.421,-121.4238,56.05,74,100,16.11
140,Puerto Ayora,EC,2023-01-10 21:32:54,-0.7393,-90.3518,76.55,86,22,5.99
141,Waipawa,NZ,2023-01-10 21:35:57,-41.4122,175.5153,56.86,97,100,19.44
142,San Patricio,US,2023-01-10 21:35:57,28.017,-97.5169,82.49,46,0,8.25
143,Carnarvon,AU,2023-01-10 21:35:57,-24.8667,113.6333,72.36,66,0,15.46
144,Rudbar,AF,2023-01-10 21:35:58,30.15,62.6,40.12,78,100,21.41
145,Kavieng,PG,2023-01-10 21:35:58,-2.5744,150.7967,82.38,73,100,4.21
146,Obo,CF,2023-01-10 21:35:58,5.3998,26.4869,72.3,30,42,4.72
147,Bethel,US,2023-01-10 21:31:52,41.3712,-73.414,41.31,66,100,6.91
148,Mogzon,RU,2023-01-10 21:35:59,51.7435,111.9606,1.99,100,95,4.21
149,Galle,LK,2023-01-10 21:35:59,6.0367,80.217,75.92,84,14,4.92
150,Cape Town,ZA,2023-01-10 21:33:49,-33.9258,18.4232,67.1,73,0,10.36
151,Paita,PE,2023-01-10 21:35:59,-5.0892,-81.1144,71.51,75,56,12.75
152,Alta Floresta,BR,2023-01-10 21:36:00,-9.8756,-56.0861,70.23,98,100,1.54
153,Van Buren,US,2023-01-10 21:36:00,35.4368,-94.3483,68.36,52,0,12.66
154,Aljezur,PT,2023-01-10 21:36:01,37.3191,-8.8033,60.49,83,91,4.25
155,Road Town,VG,2023-01-10 21:36:01,18.4167,-64.6167,80.69,78,40,5.75
156,Upernavik,GL,2023-01-10 21:36:01,72.7868,-56.1549,-22.79,98,91,6.58
157,Aden,YE,2023-01-10 21:36:01,12.7794,45.0367,76.55,69,62,8.86
158,Henties Bay,NA,2023-01-10 21:36:02,-22.116,14.2845,64.71,88,100,3.53
159,Bengkulu,ID,2023-01-10 21:36:02,-3.8004,102.2655,73.71,91,81,3.74
160,Ghoti,IN,2023-01-10 21:36:03,19.7168,73.6245,62.87,27,0,5.37
161,Urengoy,RU,2023-01-10 21:36:04,65.9667,78.3667,-38.31,97,11,7.72
162,Saint George,US,2023-01-10 21:36:04,37.1041,-113.5841,61.95,51,20,9.22
163,Nuuk,GL,2023-01-10 21:35:18,64.1835,-51.7216,20.01,86,20,14.97
164,Berlevag,NO,2023-01-10 21:36:05,70.8578,29.0864,22.95,80,0,12.66
165,Belmonte,BR,2023-01-10 21:36:05,-15.8631,-38.8828,77.72,84,98,7.25
166,Sarany,RU,2023-01-10 21:36:05,58.5,58.8833,-2.45,82,100,12.73
167,Chicama,PE,2023-01-10 21:36:06,-7.8447,-79.1469,73.94,58,26,9.24
168,Leirvik,NO,2023-01-10 21:36:06,59.7798,5.5005,44.85,74,100,35.05
169,Ivanjica,RS,2023-01-10 21:36:07,43.5803,20.2311,35.98,99,100,4.18
170,Provideniya,RU,2023-01-10 21:36:07,64.3833,-173.3,12.31,57,0,17.9
171,Sao Filipe,CV,2023-01-10 21:36:07,14.8961,-24.4956,74.61,75,1,9.08
172,Bowen,AU,2023-01-10 21:36:08,-20.0167,148.2333,81.99,69,100,5.46
173,Ibra,OM,2023-01-10 21:36:08,22.6906,58.5334,64.67,71,1,0.38
174,Emerald,AU,2023-01-10 21:36:09,-23.5333,148.1667,75.34,92,93,9.13
175,Souillac,MU,2023-01-10 21:36:09,-20.5167,57.5167,77.38,88,75,13.8
176,Lagunas,PE,2023-01-10 21:36:10,-5.2269,-75.6753,84.52,68,87,2.44
177,Galabovo,BG,2023-01-10 21:36:10,42.139,25.8673,47.1,94,100,2.59
178,Samarai,PG,2023-01-10 21:36:11,-10.6167,150.6667,81.54,76,99,2.71
179,Imbituba,BR,2023-01-10 21:31:43,-28.24,-48.6703,74.57,86,80,13.02
180,Saldanha,ZA,2023-01-10 21:36:11,-33.0117,17.9442,62.65,86,100,9.95
181,Singapore,SG,2023-01-10 21:33:43,1.2897,103.8501,79.2,90,75,3.44
182,Khandyga,RU,2023-01-10 21:37:12,62.6667,135.6,-20.79,91,100,2.1
183,Odweyne,SO,2023-01-10 21:37:12,9.4092,45.064,68.31,53,0,1.79
184,Wake Forest,US,2023-01-10 21:37:12,35.9799,-78.5097,54.75,62,0,0.0
185,Chuy,UY,2023-01-10 21:37:13,-33.6971,-53.4616,72.46,75,3,5.88
186,Isangel,VU,2023-01-10 21:34:11,-19.55,169.2667,80.47,67,44,6.85
187,Thompson,CA,2023-01-10 21:37:13,55.7435,-97.8558,10.56,85,100,3.44
188,Hasaki,JP,2023-01-10 21:37:13,35.7333,140.8333,27.0,45,5,6.22
189,Peterhead,GB,2023-01-10 21:37:14,57.5058,-1.7981,46.8,69,100,29.37
190,Egvekinot,RU,2023-01-10 21:37:14,66.3167,-179.1667,-9.76,81,6,12.21
191,Sobolevo,RU,2023-01-10 21:37:15,54.4299,31.8996,17.6,76,100,16.82
192,Fort Wellington,GY,2023-01-10 21:37:16,6.4,-57.6,76.05,87,76,10.07
193,Arraial Do Cabo,BR,2023-01-10 21:37:16,-22.9661,-42.0278,76.96,88,75,6.91
194,Avenal,US,2023-01-10 21:37:16,36.0041,-120.129,58.77,58,39,19.46
195,Santa Rosalia,MX,2023-01-10 21:37:17,27.3167,-112.2833,70.39,28,100,4.7
196,Hokitika,NZ,2023-01-10 21:37:17,-42.7167,170.9667,70.57,61,100,1.68
197,Goure,NE,2023-01-10 21:37:18,13.9835,10.2704,62.92,22,1,10.87
198,Norman Wells,CA,2023-01-10 21:37:18,65.282,-126.8329,3.24,85,100,3.44
199,Barrow,US,2023-01-10 21:36:14,71.2906,-156.7887,-12.98,77,0,18.41
200,Nome,US,2023-01-10 21:37:18,64.5011,-165.4064,8.67,66,0,12.66
201,Yatou,CN,2023-01-10 21:37:19,37.15,122.3833,32.58,77,1,4.09
202,Ushibuka,JP,2023-01-10 21:37:19,32.1906,130.0228,51.96,71,63,7.47
203,Mahebourg,MU,2023-01-10 21:37:19,-20.4081,57.7,78.26,88,75,13.8
204,Cidreira,BR,2023-01-10 21:37:20,-30.1811,-50.2056,72.52,78,85,1.54
205,Shiyan,CN,2023-01-10 21:37:20,32.6475,110.7781,37.4,85,0,0.76
206,Hobyo,SO,2023-01-10 21:37:20,5.3505,48.5268,76.59,74,14,14.58
207,Sioux Lookout,CA,2023-01-10 21:36:52,50.1001,-91.917,26.67,93,100,3.44
208,Abha,SA,2023-01-10 21:36:33,18.2164,42.5053,51.62,93,0,0.0
209,Kawalu,ID,2023-01-10 21:37:21,-7.3817,108.2082,71.28,96,100,1.03
210,Ouadda,CF,2023-01-10 21:37:21,8.0777,22.4007,65.98,28,16,5.48
211,Urumqi,CN,2023-01-10 21:37:22,43.801,87.6005,18.55,93,75,4.47
212,Ponta Do Sol,PT,2023-01-10 21:37:22,32.6667,-17.1,65.03,74,11,4.09
213,Galveston,US,2023-01-10 21:37:22,29.3669,-94.9669,78.91,84,40,11.5
214,Ponazyrevo,RU,2023-01-10 21:37:23,58.3578,46.3142,-9.62,82,11,9.46
215,Padang,ID,2023-01-10 21:37:23,-0.9492,100.3543,75.25,87,100,3.2
216,Coahuayana,MX,2023-01-10 21:37:24,18.7333,-103.6833,85.32,43,1,6.53
217,Knysna,ZA,2023-01-10 21:37:24,-34.0363,23.0471,69.01,92,79,1.72
218,La Rioja,ES,2023-01-10 21:37:24,42.25,-2.5,33.58,87,100,6.85
219,Ribeira Grande,PT,2023-01-10 21:37:25,38.5167,-28.7,55.8,67,40,6.91
220,Fortuna,US,2023-01-10 21:37:25,40.5982,-124.1573,53.94,95,75,9.22
221,Galion,US,2023-01-10 21:37:26,40.7337,-82.7899,41.88,71,99,6.62
