City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
152,Sokoni,TZ,-6.4333,39.55,82.26,78,78,11.74,broken clouds
153,Sistranda,NO,63.7256,8.834,33.76,69,97,9.31,overcast clouds
154,Vanimo,PG,-2.6741,141.3028,76.48,90,83,8.99,broken clouds
155,Rawson,AR,-43.3002,-65.1023,83.88,42,34,20.47,scattered clouds
156,Chokurdakh,RU,70.6333,147.9167,-30.33,99,93,7.09,overcast clouds
157,Hays,US,30.0502,-98.0336,72.37,40,62,8.01,broken clouds
158,Novobirilyussy,RU,56.9514,90.6661,-12.82,95,100,3.91,overcast clouds
159,Pangoa,PE,-12.1167,-73.0,84.81,52,98,3.4,overcast clouds
160,Honiara,SB,-9.4333,159.95,77.05,90,100,1.86,light rain
161,North Platte,US,41.1239,-100.7654,24.69,94,100,25.01,light snow
162,Castro,BR,-24.7911,-50.0119,75.02,79,81,5.35,broken clouds
163,Ponta Delgada,PT,37.7333,-25.6667,57.92,62,20,10.36,few clouds
164,Copiapo,CL,-27.3667,-70.3333,69.49,29,0,11.16,clear sky
165,Banswada,IN,18.3833,77.8833,70.47,40,2,6.46,clear sky
166,Pucara,PE,-15.9803,-71.4606,44.73,55,97,10.83,overcast clouds
167,Taoudenni,ML,22.6783,-3.9836,75.25,12,91,9.26,overcast clouds
168,Santa Rosa,PH,14.3122,121.1114,78.78,81,85,14.16,overcast clouds
169,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.09,82,12,13.22,few clouds
170,Richards Bay,ZA,-28.783,32.0377,79.54,76,79,15.03,broken clouds
171,Tessalit,ML,20.1986,1.0114,72.01,12,90,3.74,overcast clouds
172,Pangai,TO,-19.8,-174.35,78.91,89,20,0.0,few clouds
173,Cabo San Lucas,MX,22.8909,-109.9124,72.61,70,0,3.0,clear sky
174,Pisco,PE,-13.7,-76.2167,73.45,78,0,11.5,clear sky
175,Miri,MY,4.4148,114.0089,77.14,94,40,6.91,scattered clouds
176,Kruisfontein,ZA,-34.0033,24.7314,73.89,78,73,8.23,broken clouds
177,Gigmoto,PH,13.7796,124.39,75.76,94,100,15.1,heavy intensity rain
178,Marzuq,YE,14.4,46.4667,65.12,39,28,3.47,scattered clouds
179,Broome,US,42.2506,-75.833,42.19,84,100,12.66,overcast clouds
180,Mapiripan,CO,2.8892,-72.1256,90.16,42,43,6.6,scattered clouds
181,Novo Aripuana,BR,-5.1206,-60.3797,77.72,84,97,4.16,overcast clouds
182,Mahebourg,MU,-20.4081,57.7,80.89,83,75,16.11,light rain
183,Coihaique,CL,-45.5752,-72.0662,83.01,34,0,6.91,clear sky
184,Canchungo,GW,12.0672,-16.0333,96.93,28,1,7.94,clear sky
185,Jizan,SA,17.3333,42.6667,79.74,71,36,7.94,scattered clouds
186,Saint-Georges,GD,12.0564,-61.7485,83.88,65,40,23.02,scattered clouds
187,Catuday,PH,16.2923,119.8062,76.55,71,6,6.91,clear sky
188,Rupert,US,42.6191,-113.6772,30.15,74,100,5.75,overcast clouds
189,Palmer,US,42.1584,-72.3287,47.91,57,100,14.97,overcast clouds
190,Nuuk,GL,64.1835,-51.7216,16.88,61,100,3.0,light snow
191,Usinsk,RU,65.9939,57.5281,7.86,97,97,12.77,overcast clouds
192,Kirakira,SB,-10.4544,161.9205,79.47,85,100,11.77,overcast clouds
193,Trairi,BR,-3.2778,-39.2689,83.95,64,80,13.82,moderate rain
194,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,69,99,6.33,overcast clouds
195,Gadung,PH,6.8025,124.02,77.79,83,45,2.86,scattered clouds
196,Cap Malheureux,MU,-19.9842,57.6142,79.47,80,100,5.99,light rain
197,Gillette,US,44.2911,-105.5022,31.03,94,100,9.22,overcast clouds
198,Doha,QA,25.2867,51.5333,62.58,63,0,12.66,clear sky
199,Mitsamiouli,KM,-11.3847,43.2844,81.52,75,84,6.31,broken clouds
200,Manokwari,ID,-0.8667,134.0833,77.83,78,99,7.76,overcast clouds
201,Tsiroanomandidy,MG,-18.7667,46.0333,68.43,70,89,4.83,overcast clouds
202,Riyadh,SA,24.6877,46.7219,53.74,46,9,9.24,clear sky
203,Toamasina,MG,-18.1667,49.3833,78.8,78,75,19.57,moderate rain
204,Roebourne,AU,-20.7833,117.1333,82.27,68,52,8.88,broken clouds
205,Khazar,RU,41.9974,48.3332,39.61,82,64,3.51,broken clouds
206,Kavaratti,IN,10.5669,72.642,80.01,74,58,4.56,broken clouds
207,Altamira,BR,-3.2033,-52.2064,80.69,78,75,6.91,broken clouds
208,Iqaluit,CA,63.7506,-68.5145,-11.47,77,20,0.0,few clouds
209,Sergeyevka,KZ,53.88,67.4158,-1.86,80,27,7.67,scattered clouds
210,Port Hedland,AU,-20.3167,118.5667,80.65,83,75,9.22,broken clouds
211,Tomatlan,MX,19.9333,-105.25,79.0,44,67,4.29,broken clouds
212,Yabelo,ET,4.8833,38.0833,67.01,24,80,8.12,broken clouds
213,Mount Isa,AU,-20.7333,139.5,80.37,57,29,10.36,light rain
214,Maromitsa,RU,59.8683,48.0123,20.75,89,100,10.18,overcast clouds
215,Itanagar,IN,27.1,93.6167,53.53,64,13,4.14,few clouds
216,Itarema,BR,-2.9248,-39.9167,83.19,68,77,15.57,broken clouds
217,Zambezi,ZM,-13.5432,23.1047,65.93,95,93,5.01,light rain
218,Korem,ET,12.5058,39.5228,52.48,61,21,4.34,few clouds
219,Kapaa,US,22.0752,-159.319,66.52,94,0,8.05,clear sky
220,Tasiilaq,GL,65.6145,-37.6368,-2.34,72,71,6.38,broken clouds
221,Goure,NE,13.9835,10.2704,73.06,17,0,8.95,clear sky
222,Sukhumi,GE,43.0033,41.0153,52.07,55,68,5.99,broken clouds
223,Lebedyn,UA,50.5852,34.4849,43.05,93,100,21.85,overcast clouds
224,Puerto Suarez,BO,-18.95,-57.8,91.76,52,40,3.44,scattered clouds
225,Faanui,PF,-16.4833,-151.75,80.15,73,53,12.91,broken clouds
